"Company";"TypeName";"Inches";"resolution_width";"resolution_height";"is_touchscreen";"cpu_brand";"cpu_name";"cpu_speed";"Ram";"memory_type";"primary_storage";"secondary_storage";"gpu_brand";"gpu_name";"OpSys";"Weight";"Price";"Index";"ppi"
"Dell";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";" HD Graphics 520";"windows";2.3;22305;26;100
"Apple";"Ultrabook";13.3;1440;900;0;"Intel";"Core i5";1.6;8;"Flash Storage";128;0;"Intel";" HD Graphics 6000";"macos";1.35;58555;27;128
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"AMD";" Radeon 530";"windows";2.2;42624;28;141
"Dell";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";1.9;8;"SSD";256;256;"Intel";" UHD Graphics 620";"windows";1.88;69157;29;141
"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;8;"HDD";1024;0;"Nvidia";" GeForce 930MX";"windows";2.5;47739;30;127
"Chuwi";"Notebook";15.6;1920;1080;0;"Intel";"Atom x5-Z8300";1.4;4;"Flash Storage";64;0;"Intel";" HD Graphics";"windows";1.89;13053;31;141
"Asus";"Notebook";14.0;1366;768;0;"AMD";"E-Series E2-6110";1.5;2;"Flash Storage";32;0;"AMD";" Radeon R2";"windows";1.65;10603;32;112
"HP";"Notebook";17.3;1920;1080;0;"AMD";"A6-Series 9220";2.5;4;"HDD";500;0;"AMD";" Radeon 530";"windows";2.71;23390;33;127
"Dell";"Ultrabook";13.3;3200;1800;1;"Intel";"Core i7";1.8;16;"SSD";512;0;"Intel";" UHD Graphics 620";"windows";1.2;99580;34;276
"Apple";"Ultrabook";13.3;1440;900;0;"Intel";"Core i5";1.6;8;"Flash Storage";256;0;"Intel";" HD Graphics 6000";"macos";1.35;53173;35;128
"Lenovo";"Notebook";14.0;1366;768;0;"Intel";"Celeron Dual";1.1;4;"Flash Storage";64;0;"Intel";" HD Graphics 500";"windows";1.44;13267;36;112
"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.7;4;"HDD";1024;0;"Intel";" HD Graphics 620";"linux";2.1;19554;37;100
"Dell";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;8;"Hybrid";128;1024;"AMD";" Radeon 530";"windows";2.8;52161;38;127
"HP";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;4;"HDD";1024;0;"Intel";" HD Graphics 620";"windows";1.86;26037;39;100
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Nvidia";" GeForce 930MX ";"windows";2.1;46833;40;141
"Asus";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";" HD Graphics 620";"linux";2.0;20726;41;141
"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";" GeForce GTX 1060";"windows";2.65;79867;42;141
"Asus";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;8;"HDD";1024;0;"Nvidia";" GeForce 940MX";"linux";2.3;27865;43;100
"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;4;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";2.2;36337;44;141
"Dell";"2 in 1 Convertible";17.3;1920;1080;1;"Intel";"Core i5";1.6;12;"HDD";1024;0;"Nvidia";" GeForce 150MX";"windows";2.77;53227;45;127
"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";2.0;8;"SSD";256;0;"Intel";" Iris Graphics 540";"macos";1.37;75604;46;227
"Asus";"Gaming";17.3;1920;1080;0;"AMD";"Ryzen 1700";3.0;8;"Hybrid";256;1024;"AMD";" Radeon RX 580";"windows";3.2;69211;48;127
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;4;"SSD";256;0;"AMD";" Radeon R5 M430";"windows";2.3;34046;49;141
"Asus";"Notebook";17.3;1366;768;0;"Intel";"Pentium Quad";1.1;4;"HDD";1024;0;"Nvidia";" GeForce 920MX";"windows";2.8;24828;50;91
"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Nvidia";" GeForce MX150";"windows";2.2;44808;52;141
"HP";"Notebook";15.6;1920;1080;0;"AMD";"A6-Series 9220";2.5;4;"SSD";256;0;"AMD";" Radeon R4 Graphics";"windows";1.86;21232;53;141
"HP";"Notebook";13.3;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";512;0;"Intel";" UHD Graphics 620";"windows";1.49;58768;54;166
"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.4;4;"HDD";1024;0;"Intel";" HD Graphics 620";"windows";2.4;20460;55;100
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"AMD";" Radeon 520";"windows";2.13;40908;56;141
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"SSD";128;0;"Intel";" HD Graphics 520";"windows";1.91;23390;57;141
"Asus";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;4;"SSD";256;0;"Intel";" HD Graphics 620";"windows";2.0;31232;58;100
"MSI";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;2048;"Nvidia";" GeForce GTX 1070";"windows";2.43;130483;59;127
"Asus";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"SSD";256;0;"Intel";" HD Graphics 520";"linux";2.0;22111;60;141
"Dell";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";1.8;16;"Hybrid";256;2048;"AMD";" Radeon 530";"windows";2.8;69211;61;127
"Dell";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";1.7;46833;62;157
"Lenovo";"Notebook";14.0;1920;1080;0;"Intel";"Core i3";2.7;8;"SSD";256;0;"Intel";" HD Graphics 620";"other";1.7;31915;63;157
"Asus";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";1.4;50136;64;157
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";1.86;36763;65;141
"Asus";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"SSD";512;0;"Nvidia";" GeForce GTX 1050 Ti";"windows";1.8;105654;66;141
"HP";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;4;"HDD";500;0;"AMD";" Radeon 520";"windows";1.86;23373;67;100
"HP";"Notebook";14.0;1366;768;0;"Intel";"Celeron Dual";1.6;4;"SSD";32;0;"Intel";" HD Graphics 400";"windows";1.44;12201;68;112
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;4;"HDD";1024;0;"Intel";" HD Graphics 620";"windows";1.9;29251;69;141
"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;12;"HDD";1024;0;"Nvidia";" GeForce GTX 1050 Ti";"linux";3.0;50563;70;127
"Microsoft";"Ultrabook";13.5;2256;1504;1;"Intel";"Core i5";2.5;4;"SSD";128;0;"Intel";" HD Graphics 620";"windows";1.25;58022;71;201
"Dell";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i7";1.8;64;"SSD";256;0;"AMD";" Radeon 530";"windows";1.4;50882;72;166
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"AMD";" Radeon 530";"windows";2.2;46354;73;141
"MSI";"Gaming";17.3;1920;1080;0;"Intel";"Core i5";2.5;8;"Hybrid";128;1024;"Nvidia";" GeForce GTX 1050";"windows";2.7;58342;74;127
"Acer";"Notebook";14.0;1366;768;0;"Intel";"Core i3";2.0;8;"HDD";1024;0;"Intel";" HD Graphics 520";"windows";2.1;20726;75;112
"Asus";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"HDD";1024;0;"Nvidia";" GeForce GTX 1050";"windows";2.2;50563;76;141
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"HDD";2048;0;"Intel";" HD Graphics 620";"other";2.2;27652;77;141
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"Hybrid";128;1024;"Intel";" UHD Graphics 620";"windows";2.02;45554;78;141
"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.7;4;"HDD";1024;0;"Nvidia";" GeForce MX130";"windows";2.2;28238;79;141
"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;8;"Hybrid";128;1024;"Nvidia";" GeForce 930MX";"windows";2.5;52055;80;127
"Dell";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";1.88;58403;81;141
"Apple";"Ultrabook";12.0;2304;1440;0;"Intel";"Core i5";1.3;8;"SSD";512;0;"Intel";" HD Graphics 615";"macos";0.92;80453;82;226
"HP";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";1.63;45821;83;157
"Lenovo";"Notebook";15.6;1920;1080;0;"AMD";"A6-Series 9220";2.5;4;"SSD";128;0;"AMD";" R4 Graphics";"windows";2.2;21259;84;141
"Acer";"Notebook";15.6;1366;768;0;"AMD";"A9-Series 9420";3.0;4;"HDD";1024;0;"AMD";" Radeon R5";"windows";2.1;21046;85;100
"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";128;1024;"Nvidia";" GeForce GTX 1050 Ti";"windows";2.65;71875;86;141
"HP";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Nvidia";" GeForce GTX 940MX";"windows";1.83;37243;87;141
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";1.96;31914;88;141
"Asus";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";128;1024;"Nvidia";" GeForce GTX 1060";"windows";2.2;77203;89;141
"Dell";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";1.21;87859;90;166
"Asus";"Gaming";15.6;1920;1080;0;"AMD";"FX 9830P";3.0;8;"HDD";1024;0;"AMD";" Radeon RX 560";"windows";2.45;37243;91;141
"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;2;"HDD";1024;0;"Nvidia";" GeForce MX150";"windows";2.2;36710;92;141
"HP";"Notebook";13.3;1920;1080;0;"Intel";"Core i7";1.8;16;"SSD";512;0;"Intel";" UHD Graphics 620";"windows";1.49;63776;93;166
"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Nvidia";" GeForce GTX 1060";"windows";2.65;63670;94;141
"Asus";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";1.25;55891;95;157
"Acer";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";1.5;45128;96;166
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.7;8;"HDD";1024;0;"AMD";" Radeon R5 M430";"linux";2.2;31963;97;141
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"SSD";256;0;"AMD";" Radeon R5 M430";"linux";2.2;25841;98;141
"Asus";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.4;6;"SSD";256;0;"Nvidia";" GeForce 920M";"windows";2.0;30743;99;141
"HP";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;12;"Hybrid";128;1024;"Nvidia";" GeForce GTX 1050";"windows";2.62;66547;100;141
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"AMD";" Radeon 530";"windows";1.91;38308;101;141
"HP";"Notebook";15.6;1920;1080;0;"AMD";"E-Series E2-9000e";1.5;4;"HDD";500;0;"AMD";" Radeon R2";"windows";2.1;18595;102;141
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"HDD";1024;0;"AMD";" Radeon 520";"linux";2.2;34472;103;141
"HP";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"Nvidia";" GeForce MX150";"windows";1.38;59620;104;166
"Microsoft";"Ultrabook";13.5;2256;1504;1;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";1.25;71395;105;201
"HP";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";2.5;6;"SSD";256;0;"Nvidia";" GeForce 940MX";"windows";1.58;35112;106;157
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";" HD Graphics 520";"windows";1.85;22106;107;141
"Asus";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"Nvidia";" GeForce 940MX";"windows";1.3;63563;108;157
"MSI";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";" GeForce GTX 1050 Ti";"windows";2.2;69211;109;141
"Lenovo";"Notebook";14.0;1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";1.58;78854;110;157
"Asus";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";1.8;16;"Hybrid";256;1024;"Nvidia";" GeForce MX150";"windows";1.5;67239;111;141
"Dell";"Ultrabook";13.3;3200;1800;1;"Intel";"Core i7";2.4;8;"SSD";256;0;"Intel";" Iris Plus Graphics 640";"windows";1.23;73473;112;276
"Lenovo";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";1.37;74539;113;166
"HP";"Notebook";14.0;1366;768;0;"Intel";"Core i5";1.6;4;"HDD";500;0;"Intel";" UHD Graphics 620";"windows";1.63;38468;114;112
"Dell";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";1.21;86793;115;166
"HP";"Notebook";14.0;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";512;0;"Intel";" UHD Graphics 620";"windows";1.63;57756;117;157
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"Hybrid";256;1024;"Nvidia";" GeForce 940MX";"windows";2.16;60224;118;141
"Asus";"Notebook";17.3;1920;1080;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Nvidia";" GeForce 920MX";"windows";2.0;30050;119;127
"Asus";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Nvidia";" GeForce 940MX";"windows";1.7;59567;120;141
"Acer";"Notebook";15.6;1920;1080;1;"Intel";"Core i3";2.4;6;"HDD";1024;0;"Intel";" HD Graphics 620";"windows";2.1;25521;121;141
"MSI";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;2048;"Nvidia";" GeForce GTX 1070";"windows";1.8;119427;122;141
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Nvidia";" GeForce 940MX";"other";2.2;33513;123;141
"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";1.8;16;"SSD";512;0;"Nvidia";" GeForce 930MX ";"windows";2.5;67719;124;127
"Acer";"Notebook";15.6;1366;768;0;"AMD";"A9-Series 9420";3.0;4;"SSD";256;0;"AMD";" Radeon R5";"windows";2.1;24029;125;100
"HP";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"HDD";1024;0;"Intel";" UHD Graphics 620";"windows";1.63;43263;127;157
"Asus";"Notebook";14.0;1366;768;0;"AMD";"E-Series 6110";1.5;4;"SSD";64;0;"AMD";" Radeon R2";"windows";1.65;14811;128;112
"Dell";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";1.8;16;"Hybrid";256;2048;"AMD";" Radeon 530";"windows";2.8;74379;129;127
"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";2.5;49444;130;127
"Dell";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;8;"HDD";1024;0;"AMD";" Radeon R7 M445";"windows";2.36;34045;131;100
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"AMD";" Radeon R5 M430";"windows";2.2;23923;132;141
"Acer";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";1.6;47100;133;157
"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.7;4;"SSD";256;0;"Nvidia";" GeForce MX130";"windows";7.2;30476;134;141
"HP";"Notebook";15.6;1366;768;0;"Intel";"Core i7";2.7;8;"HDD";1024;0;"Intel";" HD Graphics 620";"windows";2.05;31861;135;100
"HP";"Notebook";14.0;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";1.63;52641;136;157
"Lenovo";"Notebook";15.6;1366;768;0;"Intel";"Celeron Dual";1.1;4;"HDD";1024;0;"Intel";" HD Graphics 500";"other";1.9;13446;137;100
"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i5";2.5;8;"Hybrid";128;1024;"Nvidia";" GeForce GTX 1050";"windows";3.0;49977;138;127
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;4;"HDD";1024;0;"Nvidia";" GeForce 920MX";"other";2.2;26587;139;141
"HP";"Notebook";13.3;1920;1080;0;"Intel";"Core i5";2.5;4;"SSD";256;0;"Intel";" HD Graphics 620";"windows";1.32;37243;140;166
"Acer";"Notebook";17.3;1920;1080;0;"Intel";"Core i3";2.7;4;"HDD";1024;0;"Nvidia";" GeForce MX130";"windows";3.0;34898;141;127
"Lenovo";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"AMD";" Radeon RX 550";"windows";1.75;59462;142;157
"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"SSD";256;0;"Nvidia";" GeForce GTX 1050M";"other";2.4;46300;143;141
"Toshiba";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.3;4;"HDD";500;0;"Intel";" HD Graphics 520";"windows";2.1;32075;144;100
"HP";"Notebook";15.6;1366;768;0;"AMD";"A6-Series 9220";2.5;4;"SSD";256;0;"AMD";" Radeon R4 Graphics";"windows";1.86;19660;145;100
"Asus";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";1.25;58555;146;157
"HP";"Ultrabook";12.5;3840;2160;1;"Intel";"Core M";1.2;8;"SSD";512;0;"Intel";" HD Graphics 515";"windows";0.97;107306;147;352
"Asus";"Notebook";15.6;1920;1080;0;"Intel";"Celeron Dual";1.1;4;"HDD";1024;0;"Intel";" HD Graphics 500";"windows";2.0;18328;148;141
"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";" HD Graphics 520";"windows";2.1;23816;150;100
"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"SSD";512;0;"Nvidia";" GeForce GTX 1050";"windows";2.56;66561;151;141
"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"Hybrid";1024;0;"Nvidia";" GeForce GTX 1050";"windows";2.62;47899;152;141
"Lenovo";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;4;"SSD";128;0;"Intel";" HD Graphics 620";"windows";1.9;26533;153;100
"MSI";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";" GeForce GTX 1060";"windows";2.8;100699;154;127
"HP";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i5";2.7;4;"SSD";256;0;"Intel";" HD Graphics 620";"windows";1.48;57649;155;157
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;6;"SSD";256;0;"AMD";" Radeon 520";"windows";1.91;32980;156;141
"Lenovo";"2 in 1 Convertible";14.0;1920;1080;1;"Intel";"Core i3";2.4;4;"SSD";256;0;"Intel";" HD Graphics 620";"windows";1.74;33513;157;157
"Asus";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";1.1;70063;158;166
"Dell";"2 in 1 Convertible";15.6;1920;1080;1;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";1.56;55891;159;141
"Toshiba";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.2;4;"HDD";500;0;"Intel";" HD Graphics 520";"windows";2.1;23816;160;100
"Asus";"Notebook";15.6;1366;768;0;"AMD";"A9-Series 9420";3.0;4;"HDD";1024;0;"AMD";" Radeon R5 M420";"windows";2.03;21472;161;100
"Acer";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;4;"SSD";256;0;"Nvidia";" GeForce MX150";"windows";3.0;42890;162;127
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"AMD";" Radeon 520";"windows";2.13;38788;163;141
"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"SSD";256;0;"Nvidia";" GeForce GTX 1050 Ti";"windows";2.5;57489;164;141
"Acer";"Notebook";15.6;1366;768;0;"Intel";"Celeron Dual";1.1;4;"HDD";1024;0;"Intel";" HD Graphics 500";"windows";2.1;18541;165;100
"MSI";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";" GeForce GTX 1060";"windows";2.4;95851;166;141
"Acer";"Notebook";15.6;1366;768;0;"Intel";"Pentium Quad";1.1;4;"HDD";1024;0;"Intel";" HD Graphics 505";"windows";2.1;19368;167;100
"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"Hybrid";128;1024;"Nvidia";" GeForce GTX 1050";"windows";2.56;56503;168;141
"Acer";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Nvidia";" GeForce MX150";"windows";3.0;45501;169;127
"HP";"Notebook";13.3;1920;1080;0;"Intel";"Core i5";1.6;4;"HDD";500;0;"Intel";" UHD Graphics 620";"windows";1.49;40173;170;166
"Huawei";"Ultrabook";13.0;2160;1440;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";1.05;71875;171;200
"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";2.5;6;"HDD";2048;0;"AMD";" Radeon 520";"windows";2.71;37243;172;127
"Lenovo";"Notebook";15.6;1366;768;0;"AMD";"A6-Series 9220";2.9;4;"HDD";500;0;"AMD";" Radeon R4 Graphics";"other";2.2;16464;173;100
"Toshiba";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.4;4;"HDD";500;0;"Intel";" HD Graphics 620";"windows";5.4;26054;174;100
